date,region_id,avg_5min_demand,daily_peak,daily_min,total_daily_energy_mwh
2025-01-16,QLD1,7616.726736111112,10041.18,6352.73,548404.325
2025-01-16,SA1,1146.9675694444445,1616.87,448.58,82581.665
2025-01-16,TAS1,953.833611111111,1092.27,834.06,68676.01999999999
2025-01-16,VIC1,3993.688784722222,5135.48,2683.18,287545.59249999997
2025-01-17,NSW1,6961.924444444444,7865.63,6130.32,501258.55999999994
2025-01-17,QLD1,6681.1603125,8585.87,4940.37,481043.5425
2025-01-17,SA1,1205.1134027777778,1846.88,424.08,86768.165
2025-01-17,TAS1,946.0664236111111,1071.84,782.65,68116.7825
2025-01-17,VIC1,3944.914548611111,5113.77,2208.15,284033.8475
2025-01-18,NSW1,6447.023680555555,7810.1,5118.72,464185.70499999996
2025-01-18,QLD1,6430.724375000001,8424.88,4821.92,463012.155
2025-01-18,SA1,1286.678125,2136.06,492.49,92640.82499999998
2025-01-18,TAS1,889.8721875,1020.53,749.33,64070.79749999999
2025-01-18,VIC1,3855.2814930555555,5853.97,2195.1,277580.26749999996
2025-01-19,NSW1,6018.116006944445,7900.97,4188.12,433304.35250000004
2025-01-19,QLD1,6161.210416666667,8065.28,4494.67,443607.14999999997
2025-01-19,SA1,1577.1088541666668,2485.14,873.27,113551.8375
2025-01-19,TAS1,885.3678819444444,1034.1,783.14,63746.487499999996
2025-01-19,VIC1,4628.9172569444445,7167.97,2855.59,333282.0425
2025-01-20,NSW1,6376.6378125,8506.51,4312.16,459117.9225
2025-01-20,QLD1,6351.230590277778,8485.44,4682.65,457288.60250000004
2025-01-20,SA1,1674.6213888888888,2316.01,1181.22,120572.73999999999
2025-01-20,TAS1,993.3432638888888,1142.69,842.94,71520.715
2025-01-20,VIC1,5702.532222222222,7783.48,4209.5,410582.31999999995
2025-01-21,NSW1,6949.2096875,9419.54,4768.13,500343.0975
2025-01-21,QLD1,7021.991909722222,9312.63,5913.12,505583.4175
2025-01-21,SA1,1344.1550694444445,1925.7,630.46,96779.165
2025-01-21,TAS1,1032.5341319444444,1138.96,918.84,74342.45749999999
2025-01-21,VIC1,5649.363020833333,7939.6,4536.89,406754.1375
2025-01-22,NSW1,7755.125833333333,9542.72,6244.79,558369.0599999999
2025-01-22,QLD1,7873.1076041666665,11159.32,6257.16,566863.7474999999
2025-01-22,SA1,1190.1656944444444,1801.4,355.91,85691.93
2025-01-22,TAS1,912.9916319444445,1035.75,801.76,65735.39749999999
2025-01-22,VIC1,4250.601701388889,5265.29,2986.42,306043.3225
2025-01-23,NSW1,7238.916944444445,8781.47,5884.15,521202.02
2025-01-23,QLD1,7680.364375,9896.04,6233.16,552986.235
2025-01-23,SA1,1285.4816319444444,1605.69,485.28,92554.67749999999
2025-01-23,TAS1,1027.6769097222223,1128.94,879.2,73992.73749999999
2025-01-23,VIC1,4503.251145833334,5308.25,3437.88,324234.0825
2025-01-24,NSW1,6868.149513888889,8445.39,5131.78,494506.76499999996
2025-01-24,QLD1,8144.965451388889,10896.53,6655.3,586437.5125
2025-01-24,SA1,1056.443888888889,1632.07,248.67,76063.95999999999
2025-01-24,TAS1,968.1935069444444,1066.42,879.72,69709.9325
2025-01-24,VIC1,4031.8277430555554,5564.87,2587.92,290291.5975
2025-01-25,NSW1,6469.448055555556,8571.9,4285.51,465800.26
2025-01-25,QLD1,6790.081284722222,8744.78,5378.46,488885.85250000004
