region_id,avg_daily_demand,annual_peak,annual_min,total_energy_mwh_year,avg_monthly_energy_mwh,peak_day,min_day
NSW1,6885.281937003969,9434.59,4534.57,989787.0675,15620207.44375,2025-01-01,2025-01-01
QLD1,6192.4858240176145,7808.79,4554.92,890208.1499999999,14204146.938749999,2025-01-01,2025-01-01
SA1,917.9425115539102,1598.49,10.55,131968.14999999997,2808792.3762499997,2025-01-02,2025-01-01
TAS1,1002.2355568863725,1131.23,843.71,144071.965,2077232.6224999998,2025-01-02,2025-01-02
VIC1,3304.30202151084,4721.65,1400.13,474996.20749999996,9786836.247499999,2025-01-02,2025-01-01
